Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.22.64.1-172.22.71.20-17,172.22.64.1,54784,172.22.71.20,14700,17,26/05/2023 10:10:52 PM,119999984,506662,0,7.5492638E8,0.0,1490.0,1490.0,1490.0,0.0,0,0,0,0,6291054.005473867,4222.183896291186,236.84472260544567,421.26262228514486,39671.0,2.0,1.19999984E8,236.84472260544567,421.26262228514486,39671.0,2.0,0,0,0,0,0,0,0,0,0,4053296,0,4222.183896291186,0.0,1490.0,1490.0,1490.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,1490.00294081656,1490.0,0.0,0,0,0,754926380,506662,6291054,0,0,0,0,0,0,506661,8,0,0,0,0,0,0,0,0,NeedManualLabel
172.22.64.1-172.22.79.255-17,172.22.64.1,57621,172.22.79.255,57621,17,26/05/2023 10:10:58 PM,90176612,4,0,176.0,0.0,44.0,44.0,44.0,0.0,0,0,0,0,1.951725576028516,0.04435739945519355,3.0058870666666668E7,111079.42827244537,3.0186716E7,2.9985986E7,9.0176612E7,3.0058870666666668E7,111079.42827244537,3.0186716E7,2.9985986E7,0,0,0,0,0,0,0,0,0,32,0,0.04435739945519355,0.0,44.0,44.0,44.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,55.0,44.0,0.0,0,0,0,0,0,0,1,58,0,0,0,0,3,8,0,0,0,0,3.0058870666666668E7,111079.42827244537,3.0186716E7,2.9985986E7,NeedManualLabel
172.22.64.1-172.22.79.255-17,172.22.64.1,57621,172.22.79.255,57621,17,26/05/2023 10:12:58 PM,90060747,4,0,176.0,0.0,44.0,44.0,44.0,0.0,0,0,0,0,1.9542365110518125,0.044414466160268465,3.0020249E7,41568.86793021912,3.0058845E7,2.9976238E7,9.0060747E7,3.0020249E7,41568.86793021912,3.0058845E7,2.9976238E7,0,0,0,0,0,0,0,0,0,32,0,0.044414466160268465,0.0,44.0,44.0,44.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,55.0,44.0,0.0,0,0,0,0,0,0,1,58,0,0,0,0,3,8,0,0,0,0,3.0020249E7,41568.86793021912,3.0058845E7,2.9976238E7,NeedManualLabel
172.22.64.1-172.22.79.255-17,172.22.64.1,57621,172.22.79.255,57621,17,26/05/2023 10:14:58 PM,60065723,3,0,132.0,0.0,44.0,44.0,44.0,0.0,0,0,0,0,2.197592793480568,0.049945290760922,3.00328615E7,32893.900354017,3.0056121E7,3.0009602E7,6.0065723E7,3.00328615E7,32893.900354017,3.0056121E7,3.0009602E7,0,0,0,0,0,0,0,0,0,24,0,0.049945290760922,0.0,44.0,44.0,44.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,58.666666666666664,44.0,0.0,0,0,0,0,0,0,1,66,0,0,0,0,2,8,0,0,0,0,3.00328615E7,32893.900354017,3.0056121E7,3.0009602E7,NeedManualLabel
172.22.64.1-172.22.71.20-17,172.22.64.1,54784,172.22.71.20,14700,17,26/05/2023 10:12:52 PM,50152627,218931,0,3.2620719E8,0.0,1490.0,1490.0,1490.0,0.0,0,0,0,0,6504289.197054423,4365.294763123774,229.08065134974836,418.59179430238885,58798.0,2.0,5.0152627E7,229.08065134974836,418.59179430238885,58798.0,2.0,0,0,0,0,0,0,0,0,0,1751448,0,4365.294763123774,0.0,1490.0,1490.0,1490.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,1490.0068057972603,1490.0,0.0,0,0,0,326207190,218931,6504289,0,0,0,0,0,0,218930,8,0,0,0,0,0,0,0,0,NeedManualLabel
