Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
18.164.116.30-192.168.226.135-443-47432-6,18.164.116.30,443,192.168.226.135,47432,6,25/05/2023 03:30:02 PM,1932713,2,0,78.0,0.0,39.0,39.0,39.0,0.0,0,0,0,0,40.35777686599097,1.0348147914356658,1932713.0,0.0,1932713.0,1932713.0,1932713.0,1932713.0,0.0,1932713.0,1932713.0,0,0,0,0,0,1,0,0,0,40,0,1.0348147914356658,0.0,39.0,39.0,39.0,0.0,0.0,2,0,0,2,2,0,0,0,0.0,58.5,39.0,0.0,0,0,0,0,0,0,1,39,0,0,64239,0,1,20,0,0,0,0,1.684996202800616E15,0.0,1.684996202800616E15,1.684996202800616E15,NeedManualLabel
127.0.0.1-127.0.0.53-60245-53-17,127.0.0.1,60245,127.0.0.53,53,17,25/05/2023 03:30:03 PM,21,2,0,90.0,0.0,45.0,45.0,45.0,0.0,0,0,0,0,4285714.285714286,95238.09523809524,21.0,0.0,21.0,21.0,21.0,21.0,0.0,21.0,21.0,0,0,0,0,0,0,0,0,0,16,0,95238.09523809524,0.0,45.0,45.0,45.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,67.5,45.0,0.0,0,0,0,0,0,0,1,45,0,0,0,0,1,8,0,0,0,0,1.684996203743295E15,0.0,1.684996203743295E15,1.684996203743295E15,NeedManualLabel
121.53.105.193-192.168.226.135-80-35144-6,121.53.105.193,80,192.168.226.135,35144,6,25/05/2023 03:30:03 PM,1491215,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.3411882257085666,1491215.0,0.0,1491215.0,1491215.0,1491215.0,1491215.0,0.0,1491215.0,1491215.0,0,0,0,0,0,1,0,0,0,40,0,1.3411882257085666,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,64240,0,0,20,0,0,0,0,1.684996203470278E15,0.0,1.684996203470278E15,1.684996203470278E15,NeedManualLabel
127.0.0.1-127.0.0.53-37178-53-17,127.0.0.1,37178,127.0.0.53,53,17,25/05/2023 03:30:03 PM,144,2,0,68.0,0.0,34.0,34.0,34.0,0.0,0,0,0,0,472222.2222222222,13888.888888888889,144.0,0.0,144.0,144.0,144.0,144.0,0.0,144.0,144.0,0,0,0,0,0,0,0,0,0,16,0,13888.888888888889,0.0,34.0,34.0,34.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,51.0,34.0,0.0,0,0,0,0,0,0,1,34,0,0,0,0,1,8,0,0,0,0,1.684996203743121E15,0.0,1.684996203743121E15,1.684996203743121E15,NeedManualLabel
192.168.226.2-192.168.226.135-53-38821-17,192.168.226.2,53,192.168.226.135,38821,17,25/05/2023 03:30:02 PM,115,2,0,169.0,0.0,122.0,47.0,84.5,53.033008588991066,0,0,0,0,1469565.2173913042,17391.304347826088,115.0,0.0,115.0,115.0,115.0,115.0,0.0,115.0,115.0,0,0,0,0,0,0,0,0,0,16,0,17391.304347826088,0.0,47.0,122.0,97.0,43.30127018922193,1875.0,0,0,0,0,0,0,0,0,0.0,145.5,84.5,0.0,0,0,0,0,0,0,1,84,0,0,0,0,1,8,0,0,0,0,1.68499620248604E15,0.0,1.68499620248604E15,1.68499620248604E15,NeedManualLabel
