Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.226.1-192.168.226.135-56334-80-6,192.168.226.1,56334,192.168.226.135,80,6,10/05/2023 11:23:31 PM,96267,2,0,360.0,0.0,360.0,0.0,180.0,254.55844122715712,0,0,0,0,3739.5992396148213,20.77555133119345,96267.0,0.0,96267.0,96267.0,96267.0,96267.0,0.0,96267.0,96267.0,0,0,0,0,0,1,0,0,0,40,0,20.77555133119345,0.0,0.0,360.0,240.0,207.84609690826528,43200.0,1,0,0,1,2,0,0,0,0.0,360.0,180.0,0.0,0,0,0,0,0,0,1,180,0,0,513,0,0,20,0,0,0,0,1.68372861105023E15,0.0,1.68372861105023E15,1.68372861105023E15,NeedManualLabel
192.168.226.1-192.168.226.135-56400-80-6,192.168.226.1,56400,192.168.226.135,80,6,10/05/2023 11:23:31 PM,4075,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,490.79754601227,4075.0,0.0,4075.0,4075.0,4075.0,4075.0,0.0,4075.0,4075.0,0,0,0,0,0,0,0,0,0,40,0,490.79754601227,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,511,0,0,20,0,0,0,0,1.683728611549112E15,0.0,1.683728611549112E15,1.683728611549112E15,NeedManualLabel
192.168.226.1-192.168.226.135-56332-80-6,192.168.226.1,56332,192.168.226.135,80,6,10/05/2023 11:23:31 PM,5589,2,0,393.0,0.0,393.0,0.0,196.5,277.8929650063132,0,0,0,0,70316.6935050993,357.84576847378776,5589.0,0.0,5589.0,5589.0,5589.0,5589.0,0.0,5589.0,5589.0,0,0,0,0,0,1,0,0,0,40,0,357.84576847378776,0.0,0.0,393.0,262.0,226.8986557915229,51483.0,1,0,0,1,2,0,0,0,0.0,393.0,196.5,0.0,0,0,0,0,0,0,1,196,0,0,513,0,0,20,0,0,0,0,1.683728611049986E15,0.0,1.683728611049986E15,1.683728611049986E15,NeedManualLabel
192.168.226.1-192.168.226.135-56428-80-6,192.168.226.1,56428,192.168.226.135,80,6,10/05/2023 11:23:31 PM,199795,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,10.010260517029955,199795.0,0.0,199795.0,199795.0,199795.0,199795.0,0.0,199795.0,199795.0,0,0,0,0,0,0,0,0,0,52,0,10.010260517029955,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,513,0,0,20,0,0,0,0,1.683728611776325E15,0.0,1.683728611776325E15,1.683728611776325E15,NeedManualLabel
192.168.226.1-192.168.226.135-56375-80-6,192.168.226.1,56375,192.168.226.135,80,6,10/05/2023 11:23:31 PM,391095,2,0,334.0,0.0,334.0,0.0,167.0,236.17366491630688,0,0,0,0,854.0124522174918,5.1138470192664185,391095.0,0.0,391095.0,391095.0,391095.0,391095.0,0.0,391095.0,391095.0,0,0,0,0,0,1,0,0,0,40,0,5.1138470192664185,0.0,0.0,334.0,222.66666666666669,192.83498990933498,37185.33333333333,1,0,0,1,2,0,0,0,0.0,334.0,167.0,0.0,0,0,0,0,0,0,1,167,0,0,513,0,0,20,0,0,0,0,1.683728611153007E15,0.0,1.683728611153007E15,1.683728611153007E15,NeedManualLabel
192.168.226.1-192.168.226.135-56370-80-6,192.168.226.1,56370,192.168.226.135,80,6,10/05/2023 11:23:31 PM,394931,2,0,348.0,0.0,348.0,0.0,174.0,246.07315985291854,0,0,0,0,881.1665835297812,5.064175767412536,394931.0,0.0,394931.0,394931.0,394931.0,394931.0,0.0,394931.0,394931.0,0,0,0,0,0,1,0,0,0,40,0,5.064175767412536,0.0,0.0,348.0,232.0,200.91789367798975,40368.0,1,0,0,1,2,0,0,0,0.0,348.0,174.0,0.0,0,0,0,0,0,0,1,174,0,0,513,0,0,20,0,0,0,0,1.683728611150418E15,0.0,1.683728611150418E15,1.683728611150418E15,NeedManualLabel
192.168.226.1-192.168.226.135-56423-80-6,192.168.226.1,56423,192.168.226.135,80,6,10/05/2023 11:23:31 PM,61644,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,32.44435792615664,61644.0,0.0,61644.0,61644.0,61644.0,61644.0,0.0,61644.0,61644.0,0,0,0,0,0,0,0,0,0,52,0,32.44435792615664,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,513,0,0,20,0,0,0,0,1.683728611777254E15,0.0,1.683728611777254E15,1.683728611777254E15,NeedManualLabel
192.168.226.1-192.168.226.135-56426-80-6,192.168.226.1,56426,192.168.226.135,80,6,10/05/2023 11:23:31 PM,199519,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,10.024107979691157,199519.0,0.0,199519.0,199519.0,199519.0,199519.0,0.0,199519.0,199519.0,0,0,0,0,0,0,0,0,0,52,0,10.024107979691157,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,513,0,0,20,0,0,0,0,1.68372861177669E15,0.0,1.68372861177669E15,1.68372861177669E15,NeedManualLabel
192.168.226.1-192.168.226.135-56382-80-6,192.168.226.1,56382,192.168.226.135,80,6,10/05/2023 11:23:31 PM,238403,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,8.389156176725963,238403.0,0.0,238403.0,238403.0,238403.0,238403.0,0.0,238403.0,238403.0,0,0,0,0,0,0,0,0,0,52,0,8.389156176725963,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,513,0,0,20,0,0,0,0,1.683728611546422E15,0.0,1.683728611546422E15,1.683728611546422E15,NeedManualLabel
192.168.226.1-192.168.226.135-56363-80-6,192.168.226.1,56363,192.168.226.135,80,6,10/05/2023 11:23:31 PM,4402097,4,0,346.0,0.0,346.0,0.0,86.5,173.0,0,0,0,0,78.59890411319877,0.9086578510196389,1467365.6666666665,1078252.1946141976,2550012.0,393562.0,4402097.0,1467365.6666666665,1078252.1946141976,2550012.0,393562.0,0,0,0,0,0,1,0,0,0,80,0,0.9086578510196389,0.0,0.0,346.0,138.4,189.5120048967875,35914.8,1,0,0,1,4,0,0,0,0.0,173.0,86.5,0.0,0,0,0,0,0,0,1,86,0,0,513,0,0,20,0,0,0,0,1.683728611149798E15,0.0,1.683728611149798E15,1.683728611149798E15,NeedManualLabel
